lon,lat,Label
-122.3499298,37.87358871,Water
-122.192688,37.85461573,Vegetation
-122.1817017,37.84919398,Vegetation
-122.2709656,37.82045206,Urban
-122.2723389,37.8285877,Urban
-122.2819519,37.82696064,Urban
-122.2812653,37.81882482,Urban
-122.289505,37.81665511,Urban
-122.2936249,37.84341033,Urban
-122.2860718,37.84702517,Urban
-122.2730255,37.84919398,Urban
-122.2805786,37.86545803,Urban
-122.2929382,37.85624218,Urban
-122.3499298,37.85244708,Water
-122.3485565,37.83834929,Water
-122.397995,37.78518724,Urban
-122.4089813,37.78247386,Urban
-122.4185944,37.78355922,Urban
-122.4179077,37.8014654,Urban
-122.3938751,37.84919398,Water
-122.3670959,37.85570003,Water
-122.4000549,37.86925246,Water
-122.4007416,37.8817185,Water
-122.3773956,37.88117654,Water
-122.4385071,37.84268736,Water
-122.4913788,37.83834929,Vegetation
-122.5270844,37.85190491,Vegetation
-122.5284576,37.83889156,Vegetation
-122.516098,37.84051835,Vegetation
-122.5051117,37.82641828,Vegetation
-122.5147247,37.83021472,Vegetation
-122.4474335,37.82262165,Water
-122.537384,37.79929519,Water
-122.6287079,37.82316404,Water
-122.5888824,37.83455327,Water
-122.6108551,37.83509557,Water
-122.6067352,37.81665511,Water
-122.6266479,37.79278416,Water
-122.6081085,37.8003803,Water
-122.6005554,37.79278416,Water
-122.5868225,37.82316404,Water
-122.572403,37.82641828,Water
-122.5710297,37.8047206,Water
-122.5401306,37.83798776,Vegetation
-122.5408173,37.84160286,Vegetation
-122.5463104,37.8632897,Vegetation
-122.5559235,37.85353141,Vegetation
-122.5627899,37.86274761,Vegetation
-122.6520538,37.85515788,Water
-122.45327,37.60552822,Vegetation
-122.4536133,37.60892803,Vegetation
-122.3988533,37.62565282,Urban
-122.3916435,37.62674048,Urban
-122.3813438,37.62769217,Urban
-122.3897552,37.61599913,Urban
-122.3866653,37.61640706,Urban
-122.3813438,37.61735888,Urban
-122.3931885,37.64984951,Urban
-122.4542999,37.6155912,Vegetation
-122.4568748,37.61667901,Vegetation
-122.4524117,37.61028791,Vegetation
-122.461853,37.60661617,Vegetation
-122.4645996,37.61083185,Vegetation
-122.4632263,37.61436739,Vegetation
-122.4062347,37.7710766,Urban
-122.4014282,37.77053383,Urban
-122.409668,37.7683627,Urban
-122.4110413,37.76890549,Urban
-122.3966217,37.75370596,Urban
-122.3993683,37.77216213,Urban
-122.3643494,37.77017197,Water
-122.3636627,37.78591078,Water
-122.3547363,37.78952843,Water
-122.3547363,37.75551558,Water
-122.3190308,37.78355922,Urban
-122.3149109,37.78464457,Urban
-122.2792053,37.80851816,Urban
-122.2695923,37.80200794,Urban
-122.277832,37.80092285,Urban
-122.301178,37.73651223,Water
-122.3286438,37.76094421,Water
-122.3396301,37.75334401,Water
-122.3238373,37.66099365,Water
-122.3101044,37.70283719,Water
-122.1583557,37.81990965,Vegetation
-122.1652222,37.81719755,Vegetation
-122.1446228,37.80689066,Vegetation
-122.0979309,37.80797566,Vegetation
-122.0306396,37.83455327,Vegetation
-122.0649719,37.83129938,Vegetation
-122.0828247,37.81123058,Vegetation
-122.0738983,37.79278416,Vegetation
-122.0773315,37.79929519,Vegetation
-122.0539856,37.77867497,Vegetation
-122.0539856,37.76673432,Vegetation
-122.2016144,37.65066499,Water
-122.256546,37.66860332,Water
-122.2840118,37.6196704,Water
